word,stemed
जंक्शन,[]
जंक्शनजवळील,[]
जंक्शनला,[]
जंक्शनवर,[]
जंग,[]
जंगम,[]
जंगल,[]
जंगलं,[]
जंगलच,[]
जंगलचा,[]
जंगलतोड,[]
जंगलतोडीतच,"['जंगलतोडी', 'जंगलतोड']"
जंगलतोडीमुळे,['जंगलतोड']
जंगलतोडीवर,['जंगलतोड']
जंगलबुक,[]
जंगलभर,[]
जंगलभागातून,"['जंगलभाग', 'जंगलभागात']"
जंगलवासी,[]
जंगलवासीयांना,[]
जंगलसफारी,[]
जंगलसफारीचे,['जंगलसफार']
जंगलही,[]
जंगलांचं,[]
जंगलांचे,['जंगल']
जंगलांच्या,"['जंगलांच', 'जंगल']"
जंगलांच्यावर,"['जंगलांच्य', 'जंगलां', 'जंगलांच', 'जंगलांच्य']"
जंगलांत,[]
जंगलांतील,['जंगलां']
जंगलांतून,['जंगलांत']
जंगलांना,[]
जंगलांनी,['जंगल']
जंगलांपासून,"['जंगलांपास', 'जंगल']"
जंगलांपुरते,[]
जंगलांपैकी,[]
जंगलांबद्दल,['जंगल']
जंगलांमधल्या,['जंगलांमधल']
जंगलांमधे,[]
जंगलांमध्ये,['जंगल']
जंगलांविषयी,[]
जंगलाऐवजी,[]
जंगलाकडे,['जंगल']
जंगलाचा,"['जंगला', 'जंगल']"
जंगलाची,"['जंगला', 'जंगल']"
जंगलाचे,"['जंगला', 'जंगल']"
जंगलाच्छादित,['जंगलाच्छाद']
जंगलाच्या,"['जंगलाच्', 'जंगल', 'जंगलाच']"
जंगलाजवळ,[]
जंगलात,['जंग']
जंगलातच,"['जंगल', 'जंगल']"
जंगलातलं,['जंगला']
जंगलातला,"['जंगला', 'जंगल']"
जंगलातली,"['जंगल', 'जंगला']"
जंगलातले,['जंगला']
जंगलातल्या,"['जंगलातल', 'जंगलातल', 'जंगल']"
जंगलातील,"['जंगला', 'जंगला', 'जंगल']"
जंगलातून,"['जंगल', 'जंगलात', 'जंगला']"
जंगलाने,[]
जंगलाबाहेर,[]
जंगलामधली,[]
जंगलामधील,[]
जंगलामध्ये,['जंगल']
जंगलामुळे,['जंगल']
जंगलाला,['जंगल']
जंगलावर,['जंगल']
जंगलावरील,['जंगलाव']
जंगलाशिवाय,"['जंगलाशिव', 'जंगल']"
जंगलाशी,['जंगल']
जंगलास,[]
जंगलासारखी,['जंगल']
जंगली,[]
जंगले,[]
जंगी,[]
जंजाळ,[]
जंजाळात,[]
जंजाळातनं,[]
जंजाळातून,"['जंजाळ', 'जंजाळात']"
जंजाळामध्ये,['जंजाळ']
जंजिरा,[]
जंजीर,[]
जंजीरला,[]
जंटलमेन,[]
जंत,[]
जंतू,[]
जंतूंकडून,['जंतूंकड']
जंतूंचा,[]
जंतूंची,[]
जंतूंना,[]
जंतूंनी,[]
