word,stemed
पँट,[]
पँटचा,[]
पँटचे,[]
पँटच्या,['पँटच']
पँटजवळ,[]
पँटमधील,[]
पँटमधे,[]
पँटमध्ये,[]
पँटवर,[]
पँटवरचा,[]
पँटी,[]
पँट्रीच्या,"['पँट्रीच', 'पँट्र']"
पँट्रीतून,"['पँट्रीत', 'पँट्रीत', 'पँट्र']"
पँट्स,[]
पंकज,[]
पंकजकडून,['पंकजकड']
पंक्चर,[]
पंक्चरच,[]
पंक्चरचं,[]
पंक्चरची,[]
पंक्चरचे,[]
पंक्चरच्या,['पंक्चरच']
पंक्चरला,[]
पंक्चरवाला,['पंक्चरव']
पंक्चरवाल्या,['पंक्चरवाल']
पंक्चरसाठी,[]
पंक्चरही,[]
पंक्तिप्रपंच,[]
पंक्ती,[]
पंक्तींमध्ये,[]
पंक्तीचा,['पंक्त']
पंक्तीत,['पंक्त']
पंक्तीतील,"['पंक्तीत', 'पंक्ती']"
पंख,[]
पंखही,[]
पंखा,[]
पंखांकडे,[]
पंखांखाली,['पंख']
पंखांचा,['पंख']
पंखांची,['पंख']
पंखांचे,['पंख']
पंखांच्या,"['पंखांच', 'पंख']"
पंखांत,[]
पंखांना,[]
पंखांनी,['पंख']
पंखांबाबत,[]
पंखांमध्ये,['पंख']
पंखांवर,['पंख']
पंखाखाली,['पंख']
पंखाच,['पंख']
पंखात,[]
पंखातल्या,"['पंखातल', 'पंख']"
पंखातील,"['पंखा', 'पंख']"
पंखापंखातून,"['पंखापंख', 'पंखापंखात']"
पंखावर,['पंख']
पंखाही,[]
पंखे,[]
पंख्यांचा,"['पंख्य', 'पंख्या']"
पंख्यांच्याच,"['पंख्यांच्य', 'पंख्यांच्', 'पंख्या']"
पंख्यांद्वारे,['पंख्यांद्व']
पंख्यांना,['पंख्या']
पंख्याकडे,"['पंख्य', 'पंख्या']"
पंख्याखालची,['पंख्याखा']
पंख्याखालच्या,['पंख्याखालच']
पंख्याखाली,"['पंख्याख', 'पंख्य']"
पंख्याचा,"['पंख्या', 'पंख्य', 'पंख्य']"
पंख्याचाही,"['पंख्याचा', 'पंख्याच', 'पंख्याच']"
पंख्याच्या,"['पंख्याच्', 'पंख्य', 'पंख्याच']"
पंख्याने,"['पंख्य', 'पंख']"
