word,stemed
ठंडा,[]
ठकठक,[]
ठकडा,[]
ठकबाजी,[]
ठकवतात,['ठकव']
ठकवले,[]
ठकविणारे,['ठकवि']
ठणकण्याची,"['ठणकण्या', 'ठणकण्य', 'ठणकण्य', 'ठणकण']"
ठणकत,[]
ठणकती,[]
ठणकते,[]
ठणकतो,[]
ठणकली,[]
ठणकल्याने,"['ठणकल्य', 'ठणकल', 'ठणक']"
ठणका,[]
ठणकायचं,['ठणकाय']
ठणकायची,['ठणकाय']
ठणकायला,['ठणकाय']
ठणकावतानाच,['ठणकावतान']
ठणकावलं,[]
ठणकावले,[]
ठणकाविले,[]
ठणकावून,['ठणकाव']
ठणकू,[]
ठणठणत,[]
ठणठणाट,[]
ठणठणीत,['ठणठण']
ठणाठण,[]
ठणाणा,[]
ठपका,[]
ठपक्यावरून,"['ठपक्य', 'ठपक्यावर', 'ठपक्याव', 'ठपक्य', 'ठपक्याव']"
ठप्प,[]
ठप्पच,[]
ठरणं,[]
ठरणार,[]
ठरणारं,[]
ठरणारच,[]
ठरणारा,[]
ठरणारी,[]
ठरणारीसुद्धा,['ठरणार']
ठरणारे,['ठर']
ठरणाऱ्या,"['ठर', 'ठरणाऱ']"
ठरणे,[]
ठरण्याचा,"['ठरण्या', 'ठरण्य', 'ठरण्य']"
ठरण्याची,"['ठरण्या', 'ठरण्य', 'ठरण्य', 'ठरण']"
ठरण्याचीच,"['ठरण्याच', 'ठरण्या', 'ठरण्या', 'ठरण्']"
ठरण्यापूर्वी,['ठरण्यापूर']
ठरण्यापेक्षा,"['ठरण्यापेक', 'ठरण्य']"
ठरण्यास,['ठरण्']
ठरण्यासाठी,"['ठरण्यास', 'ठरण्य']"
ठरण्यासारखी,"['ठरण्य', 'ठरण', 'ठरण्यासा']"
ठरत,[]
ठरतं,[]
ठरतंय,[]
ठरतच,[]
ठरता,[]
ठरताच,['ठरत']
ठरतात,['ठर']
ठरतातच,"['ठरत', 'ठरत']"
ठरताना,[]
ठरतील,['ठर']
ठरते,[]
ठरतेच,[]
ठरतो,[]
ठरतोच,[]
ठरतोय,['ठर']
ठरलं,[]
ठरलंच,[]
ठरलंय,['ठर']
ठरलय,[]
ठरला,[]
ठरलाच,['ठरल']
ठरलाय,['ठरल']
ठरलास,[]
ठरली,[]
ठरलीच,[]
ठरलीही,['ठरल']
ठरले,[]
ठरलेच,[]
ठरलेत,['ठरल']
ठरलेय,[]
ठरलेलं,['ठरल']
ठरलेलंच,['ठरले']
ठरलेला,"['ठर', 'ठरल']"
ठरलेलाच,"['ठरलेल', 'ठरल', 'ठरले']"
ठरलेली,"['ठरल', 'ठर']"
ठरलेलीच,"['ठरले', 'ठरल']"
ठरलेले,"['ठर', 'ठरल']"
ठरलेलेच,"['ठरल', 'ठरले']"
ठरलेलेही,"['ठरले', 'ठरलेल']"
ठरलेल्या,"['ठरल', 'ठरलेल', 'ठर']"
