word,main_word
आढळ्ल्यास , आढळ
आईशी , आई
आईबापांचीही , आईबापा
आईस्क्रीमची , आईस्क्रीम
आईवडिलांसम्वेत , आईवडिल
आणावयाच्या , आण
आणील , आण
आणखीनच्,आणखी
आणण्यासाठी,आण
आधारसामग्रीची,आधारसामग्री
आधारलेली,आधार
आठव्णीमुळे,आठव्ण
आठव्डयांपूर्वी,आठव्ड
आठव्तात,आठव्त
आहेरातील,आहेर
आहेतच्,आहे
आकारासारखी,आकार
आयुष्यातल्या,आयुष्य
आयुष्यरेषेच्या,आयुष्यरेष
ऑफिसातल्या,ऑफिस
ऑफिसर्चाही,ऑफिसर्
भांडव्लउभारणीशिवाय,भांडव्ल
भांडव्लबाजारामार्फत् ,भांडव्लबाजार
भाषांतरासारखे,भाषांतर
भाषण्देखील,भाषण
भाषिकांसाठी,भाषिक
भाऊबंदांकडून,भाऊ
भाजीपाल्यासारखी,भाजीपाल
भारतासारख्या,भारत
भीमरावांकडून,भीमराव
भूमिकेसाठीच,भूमिक
भविष्यकालातील,भविष्य
भेटण्यासाठी,भेट
भिंतीपुरताच,भिंत
भोजनालयात,भोजन 
भ्रष्टाचारासमोर,भ्रष्टाचार
छानपेकी,छान
छापखान्यासाठी,छापखान्
छातीमध्ये,छाती
छोटयाच्या,छोट
ढिगाऱ्यातून,ढिग
ऐकायलादेखील,ऐकायला
घाणेकरांच्यासंबधी,घाणेकर
घाबरेलेल्या,घाबर
घालण्यासाठी,घाल
घासल्यासही,घास
घडामोडींमुळे,घडामोडी
घड्ल्याशिवाय,घड्ल्
घराण्यांतले,घराण्
घट्कांबरोबर्च,घट्क
घट्नाबाह्य,घट्ना
घट्स्फोटापर्यत्ही,घट्स्फोट
घेणाराने,घेण
घेतल्याशिवाय,घेतल्
ईश्वरीशक्तीचे,ईश्वरीशक्ती
झाडासारखे,झाड
झाल्यालाही,झाल्
झुडुपातल्ं,झुडुप
खांद्यावर्,खांद्य
खाऊनबी,खाऊ
खाल्ल्याने,खाल्ल्
खात्यावर्च,खात्
खेळायच्या,खेळ
खेडयापाड्यातल्या,खेड
खिडकीजव्ळच्या,खिडकी
खोळातल्यासारखी,खोळात
औषधाप्रमाणेच,औषध
औद्योगीकर्णामुळेच,औद्योगीकर्ण
फळांतील,फळ
फळ्याजव्ळच्या,फळ्
फिरणारा,फिरण
फोडलीत,फोड
शाखेलाही,शाख
अधिकाराखालील,अधिकार
अक्षरांबरोबर्,अक्षर
अनुभव्लेल्या,अनुभव्
अनुवांशिकतेच्या,अनुवांशिक
