word,stemed
काढावा,काढ
काढावी,काढणे
काढावं,काढणे
काढावयाचा,काढणे
काढावयाची,काढणे
काढावयास,काढणे
काढावे,काढणे
काढाव्या,काढणे
काढायचा,काढणे
काढायची,काढणे
काढायच्ं,काढणे
काढायचे,काढणे
काढायला,काढणे
काढी,काढणे
काढील,काढणे
काढीन,काढणे
काढीत,काढणे
काढू,काढणे
काढून,काढणे
काढ,काढणे
काढणाची,काढणे
काढणाराच,काढणे
काढणाराला,काढणे
काढणाराने,काढणे
काढणारी,काढणे
काढणाऱ्या,काढणे
काढणाऱ्याने,काढणे
काढणार,काढणे
काढणारे,काढणे
काढण्ं,काढणे
काढणे,काढणे
काढण्याचा,काढणे
काढण्याची,काढणे
काढण्याचं,काढणे
काढण्याइतकेच,काढणे
काढण्याक,काढणे
काढण्यासाठी,काढणे
काढण्यास,काढणे
काढण्यात,काढणे
काढण्यातही,काढणे
काढच्,काढणे
काढला,काढणे
काढली,काढणे
काढल्ं,काढणे
काढले,काढणे
काढलेला,काढणे
काढलेली,काढणे
काढलेले,काढणे
काढलेल्या,काढणे
काढलेय,काढणे
काढल्ले,काढणे
काढल्या,काढणे
काढल्याबद्दल्,काढणे
काढल्यामुळें,काढणे
काढल्यानंतर्,काढणे
काढल्यावर्,काढणे
काढत्,काढणे
काढता,काढणे
काढतांना,काढणे
काढताना,काढणे
काढतात,काढणे
काढतील,काढणे
काढते,काढणे
काढतेय,काढणे
काढतो,काढणे
काई,काही
काळाबाजार,काळाबाजार
काळाजी,काळजी
काळालं,कळणे
काळानं,काळ
काळापासूनच्,काळ
काळातील,काळ
काळातीलही,काळ
काळातही,काळ
काळातला,काळ
काळातले,काळ
काळातल्या,काळ
काळीच,काळ
काळं,काळा
काळचा,काळ
काळची,काळ
काळच्या,काळ
काळडीपूर्वक्,काळजी
काळजाच्या,काळीज
काळजी,काळजी
काळजीपूर्वक्,काळजी
काळप्टलेली,काळपटणे
काळप्टलेले,काळपटणे
काळव्ंडलेला,काळवंडणे
काळव्ंडलेल्या,काळवंडणे
काळेभोर,काळाभोर
काळेंनी,काळे
काळेशार,काळाशार
काळेसावळे,काळासावळा
काळिम्याचेही,काळिमा
काळोबा,काळोबा
काळ्यांपेक्षा,काळे
काळ्याकभिन्न,काळाकभिन्न
काळ्याकुळकुळीत,कुळकुळीत
काळ्याला,काळे
कांश,कोश
कांबळी,कांबळी
कांबळे,कांबळे
कांचाना,काच
कांचन्,कांचन
कांचे,काचणे
कांडाचा,कांड
कांडाचे,कांड
कांही,काही
कांकू,कांकू
कांदब्ऱ्या,कांदबरी
कांदेविक्या,कांदेविक्या
कांदेविक्याच्या,कांदेविक्या
कांदेविक्याला,कांदेविक्या
काण,कान
काशी,काशी
काशीचा,काशी
काशीच्या,काशी
काशीही,काशी
काशीकरांकडे,काशीकर
काशीयात्रेला,काशीयात्रा
काशिनाथाशी,काशिनाथ
काशिनाथाबद्दल्,काशिनाथ
काशिनाथाची,काशिनाथ
काशिनाथ,काशिनाथ
काशिनाथचा,काशिनाथ
काशिनाथच्ं,काशिनाथ
काशिनाथच्या,काशिनाथ
काशिनाथला,काशिनाथ
काशिनाथने,काशिनाथ
काशिनाथपालून,काशिनाथ
काश्मीरहूनं,काश्मीर
काश्मीरला,काश्मीर
काश्मिरात,काश्मीर
काश्या,काश्या
काश्याचे,काश्या
काठावर्,काठ
काठावर्च्या,काठ
काठी,काठ
काठीण,कठीण
काठीनं,काठी
काठची,काठ
काठया,काठी
काठयांनी,काठी
काऊंटीत,काऊंटी
काबाडक्ष्टांपेक्षा,काबाडकष्ट
काबाडे,काबाडे
काचांचीघर्ं,काच
काचांवर्चे,काच
काच,काच
काचेच्याजव्ळ,काच
काकड्यांचे,काकडे
काकोडक्र,काकोडकर
काकुळतीस,काकुळती
कालामृत,कालामृत
कालान्तराने,कालान्तर
कालावधीनंतर्,कालावधी
कालावधीतील,कालावधी
कालख्ंडातील,कालखंड
कालख्ंडात,कालखंड
कालबाह्य,कालबाह्य
कालच्या,काल
कालमाना,कालमान
कालप्रवाहाच्या,कालप्रवाह
कालप्रवाहात,कालप्रवाह
कालवाकालव्,कालवाकालव
कालेलक्र,कालेलकर
कालिकांमूर्ती,कालिकामूर्ती
कालिदासाची,कालिदास
कालिदासाच्या,कालिदास
कालिदासात,कालिदास
कालिदास,कालिदास
कामा,कामा
कामांमळे,काम
कामाठी,कामाठी
कामाबाबत्,काम
कामाबाबतेच,काम
कामाबद्दल्ची,काम
कामामिनित्त,काम
कामासांठी,काम
कामावर्,काम
कामातील,काम
कामातच्,काम
कामातही,काम
कामी,काम
कामभावना,कामभावना
कामं,काम
कामध्ंदा,कामधंदा
कामच्,काम
कामगारच्ळव्ळ,कामगार
कामगारव्र्ग,कामगार
कामगिरी,कामगिरी
कामगिरीशी,कामगिरी
कामगिरीबद्दल्ची,कामगिरी
कामगिरीबद्दल्चे,कामगिरी
कामगिरीचा,कामगिरी
कामगिरीची,कामगिरी
कामगिरीचे,कामगिरी
कामगिरीचेचे,कामगिरी
कामगिरीच्या,कामगिरी
कामगिरीएवढीच,कामगिरी
कामगिरीपासून,कामगिरी
कामगिरीवर्,कामगिरी
कामगिरीविषय्क,कामगिरी
कामगिरीत,कामगिरी
कामजीवन्,कामजीवन
कामक्रीडांची,कामक्रीडा
कामक्रीडेची,कामक्रीडा
कामक्रोधादी,कामक्रोध
कामसुख,कामसुख
कामवाल्या,कामवाली
कामवाल्यांपर्यंत,कामवाली
कामवासनाही,वासना
कामवृत्ती,कामवृत्ती
कामत्,कामत
कामे,काम
कामेही,काम
कानाआड,कान
कानांवर्,कान
कानांवर्च्या,कान
कानाजव्ळचा,कान
कानाकोपऱ्यात,कानाकोपरा
कानामधे,कान
कानावर्,कान
कानातील,कान
कानात,कान
कानी,कान
कान्फर्न्स,कॉन्फरन्स
कानशिले,कानशिल
कानडी,कानडी
कानकोंडी,कानकोंडी
कानन्,कानन
काननात,कानन
कानविंदे,कानविंदे
कानविंदेच,कानविंदे
कानविंदेने,कानविंदे
कानेली,कानेली
कानेटक्रांचे,कानेटकर
कानेटक्रांना,कानेटकर
कानेटक्र,कानेटकर
कापाचाही,काप
कापायचा,कापणे
कापायला,कापणे
कापून,कापणे
कापूरपेटी,कापूरपेटी
कापणे,कापणे
कापण्याच्या,कापणे
कापड्,कापड
कापली,कापणे
कापल्ं,कापणे
कापलेले,कापणे
कापनार,कापणे
कापसाचा,कापूस
कापसाची,कापूस
कापसाचे,कापूस
कापसाच्या,कापूस
कापसापेक्षाही,कापूस
कापसाप्रमाणे,कापूस
कापसात,कापूस
कापत्,कापणे
काराच्या,कारा
कारागृह,गृह
कारागिरी,कारागिरी
कारापासून,कारा
कारातच्,कारा
कारूण्याची,कारूण्य
कारूण्य,कारूण्य
काऱ्ण,कारण
कार,कार
कारभारावर्,कारभार
कारखानदाराने,कारखानदार
कारखान्यांतील,कारखाना
कारंजी,कारंजे
कारण्,कारण
कारणांपेक्षाही,कारण
कारणामुंळे,कारण
कारणापुरतेच,कारण
कारणास्तव्,कारण
कारण्भाव,कारणभाव
कारणी,कारण
कारणे,कारण
कारणेही,कारण
कारण्ही,कारण
कारण्पर्ंपरा,कारण
कारण्संबंध,कारण
कारच्या,कार
कारक्,कारक
कारकीर्दीनंतर्,कारकीर्द
कारकीर्द,कारकीर्द
कारकून,कारकून
कारकुनी,कारकुनी
कारक्त्वावरून,कारकत्व
कारली,कारले
कारस्थानात,कारस्थान
कारवाराचा,कारवार
कारवारचा,कारवार
कारवारला,कारवार
कारवी,कारवी
कारदार,कदरदार
कारयाची,कार्य
कारय्ला,कार्य
कार्बन्,कार्बन
कार्ड,कार्ड
कार्डधारकाला,कार्डधारक
कार्डधारकाने,कार्डधारक
कार्डही,कार्ड
कार्डे,कार्ड
कार्ल,कारले
कार्व्हर्,कार्व्हर
कार्व्हरांशी,कार्व्हर
कार्व्हरांचा,कार्व्हर
कार्व्हरांची,कार्व्हर
कार्व्हरांचं,कार्व्हर
कार्व्हरांचे,कार्व्हर
कार्व्हरांच्या,कार्व्हर
कार्व्हरांकडे,कार्व्हर
कार्व्हरांना,कार्व्हर
कार्व्हरांनी,कार्व्हर
कार्व्हर्चा,कार्व्हर
कार्व्हर्ची,कार्व्हर
कार्व्हर्च,कार्व्हर
कार्व्हर्चं,कार्व्हर
कार्व्हर्च्या,कार्व्हर
कार्व्हर्ही,कार्व्हर
कार्व्हर्कड्चा,कार्व्हर
कार्व्हर्ला,कार्व्हर
कार्व्हर्ना,कार्व्हर
कार्व्हर्नी,कार्व्हर
कार्व्हर्नेही,कार्व्हर
कार्व्हर्प्रमाणे,कार्व्हर
कार्याबद्दल्,कार्य
कार्याचं,कार्य
कार्यालाही,कार्य
कार्यालय्,कार्यालय
कार्यालयीन,कार्यालयीन
कार्यालये,कार्यालय
कार्यानं,कार्य
कार्यानुसारी,कार्य
कार्याप्रमाणेच,कार्य
कार्यारंभाची,कार्यारंभ
कार्यासाठीही,कार्य
कार्यावर्,कार्य
कार्यावर्च,कार्य
कार्यातच्,कार्य
कार्यात्मक्,कार्यात्मक
कार्यभाग,भाग
कार्यशील,कार्यशील
कार्यच्,कार्य
कार्यकाल,कार्यकाल
कार्यकारण्,कार्यकारण
कार्यकारणात्मक्,कार्यकारण
कार्यकारण्भाव,कार्यकारणभाव
कार्यकारण्संबंध,कार्यकारण
कार्यक्षम्,कार्यक्षम
कार्यक्षमा,कार्यक्षम
कार्यक्षम्पणे,कार्यक्षम
कार्यक्षम्ता,कार्यक्षमता
कार्यक्षम्तेने,कार्यक्षमता
कार्यक्षम्तेवर्,कार्यक्षमता
कार्यक्षम्तेवर्च,कार्यक्षमता
कार्यक्षम्तेत,कार्यक्षमता
कार्यक्षेआ,कार्यक्षेत्र
कार्यक्षेत्रानुसार,कार्यक्षेत्र
कार्यक्षेत्रात,कार्यक्षेत्र
कार्यक्षेत्र,कार्यक्षेत्र
कार्यक्षेत्रही,कार्यक्षेत्र
कार्यक्क्षा,कार्यकक्षा
कार्यक्रम्,कार्यक्रम
कार्यक्रमाविषयी,कार्यक्रम्
कार्यक्र्ता,कार्यकर्ता
कार्यक्र्ते,कार्यकर्ता
कार्यक्र्त्यांना,कार्यकर्ता
कार्यक्र्त्यांनी,कार्यकर्ता
कार्यक्र्त्याँशी,कार्यकर्ता
कार्यक्र्त्यासमोर,कार्यकर्ता
कार्यक्त्याला,कार्यकर्ता
कार्यनिष्ठेमुळे,कार्यनिष्ठा
कार्यप्रणालीत,कार्यप्रणाली
कार्यप्द्धती,कार्यपद्धती
कार्यप्द्धतीचा,कार्यपद्धती
कार्यप्द्धतीची,कार्यपद्धती
कार्यप्द्धतीवरील,कार्यपद्धती
कार्यप्द्धतीवर्च,कार्यपद्धती
कार्यर्त,कार्य
कार्यर्त्यांना,कार्यकर्ता
कार्यसिद्धी,कार्यसिद्धी
कार्यवाही,कार्यवाही
कार्यवाहीसाठी,कार्यवाही
कार्यवाहीत,कार्यवाही
कार्यदेखील,कार्य
कार्ये,कार्य
काटायला,काटणे
काटक्र,काटक
काटक्सर्,काटकसर
काटक्सरी,काटकसरी
काटक्सरीने,काटकसर
काटवे,काट
काटयाला,काटा
काटयासारखी,काटा
काटेकोर,काटेकोर
काटेकोरप्णे,काटेकोरपणे
काटेरी,काटेरी
काउंटर्वर्,काउंटर
कावडी,कावडी
काव्यम्य,काव्यमय
काव्यर्चनेचा,काव्यरचना
काव्यर्चनेवर्,काव्यरचना
काव्ये,काव्य
कातळावर्,कातळ
कातडी,कातडे
कातक्री,कातकरी
कातर्,कातर
कातरायला,कातरणे
कातरीत,कातरणे
कातर्ल्याप्रमाणे,कातरणे
कादंबरी,कादंबरी
कादंबरीचा,कादंबरी
कादंबरीचे,कादंबरी
कादंबरीवर्,कादंबरी
कादंबरीतील,कादंबरी
कादंबरीतही,कादंबरी
कादंबऱ्या,कादंबरी
कादंबऱ्यांचे,कादंबरी
कादंबऱ्यांच्या,कादंबरी
कादंबऱ्यांतील,कादंबरी
कादंबऱ्यांतून,कादंबरी
कादंबऱ्यांतले,कादंबरी
कादिचित,कदाचित
कायापालट्,कायापालट
कायीच,काया
कायम्चा,कायम
कायम्चाच,कायम
कायम्ची,कायम
कायम्च,कायम
कायम्चं,कायम
कायम्चे,कायम
कायप्ण,कायम
कायत्री,कायम
कायदेशास्त्राच्या,कायदेशास्त्र
कायदेशी,कायदेशीर
कायदेकानू,कायदाकानून
कायद्याबाबत्चे,कायदा
कायद्याचेही,कायदा
कायद्यानं,कायदा
कायद्यासंबंधीच्या,कायदा
कायद्यातील,कायदा
कीर्ती,कीर्ती
कीर्तीचे,कीर्ती
कीर्तीच्या,कीर्ती
कीर्तीला,कीर्ती
कीर्तीसाठी,कीर्ती
कीर्तन्,कीर्तन
कीर्तन्काराने,कीर्तनकार
कीटक्,कीटक
कीटकांची,कीटक
कीटकांच्या,कीटक
कीटकांमुळे,कीटक
कीटकाद्वारे,कीटक
