word,stemed
अँकर,[]
अँकरचं,[]
अँकरच्या,['अँकरच']
अँकरनं,[]
अँकरला,[]
अँगल,[]
अँगलची,[]
अँगल्स,[]
अँगल्सचा,[]
अँगल्सची,[]
अँगल्सच्या,['अँगल्सच']
अँगल्सनी,[]
अँग्री,[]
अँग्लो,[]
अँजिओग्राफी,[]
अँजियोप्लास्टी,[]
अँटी,[]
अँटेना,['अँटेन']
अँटेनावर,"['अँटेनाव', 'अँटेन']"
अँटेनावरून,"['अँटेनावरू', 'अँटेन', 'अँटेनावर', 'अँटेनाव']"
अँड,[]
अँथनी,[]
अँथनीकडे,['अँथनीकड']
अँथनीचं,"['अँथन', 'अँथनी']"
अँथनीचा,"['अँथन', 'अँथनी']"
अँथनीची,"['अँथन', 'अँथनी']"
अँथनीच्या,"['अँथनीच', 'अँथनीच्', 'अँथन']"
अँथनीनं,[]
अँथनीने,['अँथनीन']
अँथनीला,['अँथन']
अँथनीसाठी,"['अँथनीसा', 'अँथन']"
अँबेसिडर,['अँबेसिड']
अँब्युलन्स,[]
अंक,[]
अंकगणित,[]
अंकगणिताद्वारे,"['अंकगणिताद्वार', 'अंकगणित', 'अंकगणिताद्व']"
अंकच,[]
अंकजाल,[]
अंकल,[]
अंकलकडे,['अंकलकड']
अंकलिपी,[]
अंकलिपीचे,"['अंकलिपीच', 'अंकलिप', 'अंकलिपी']"
अंकलीकर,[]
अंकशास्त्र,[]
अंकशास्त्रानुसार,['अंकशास्त्र']
अंकसमिती,[]
अंकसमितीच्या,"['अंकसमितीच', 'अंकसमितीच्', 'अंकसमित']"
अंकस्थ,[]
अंकही,[]
अंकांचं,[]
अंकांचा,['अंक']
अंकांची,['अंक']
अंकांचे,"['अंकांच', 'अंक']"
अंकांच्या,"['अंकांच', 'अंक']"
अंकांतल्या,"['अंकांत', 'अंकांतल']"
अंकांतील,['अंकां']
अंकांनी,['अंक']
अंकांपैकी,[]
अंकांमधली,[]
अंकांमधून,['अंकांमध']
अंकांमधे,['अंकांमध']
अंकांमध्ये,"['अंकांमध्य', 'अंक']"
अंकांवर,['अंक']
अंकांवरून,"['अंकांवर', 'अंक', 'अंकां']"
अंकांविषयी,[]
अंकांशी,[]
अंकाकरता,[]
अंकाचं,"['अंका', 'अंक']"
अंकाचा,"['अंका', 'अंक']"
अंकाचाही,"['अंकाचा', 'अंकाच']"
अंकाची,"['अंका', 'अंक']"
अंकाचे,"['अंका', 'अंकाच', 'अंक']"
अंकाच्या,"['अंकाच्', 'अंक', 'अंकाच']"
अंकात,['अंक']
अंकातला,"['अंकात', 'अंक']"
अंकातली,"['अंक', 'अंकात']"
अंकातले,"['अंकातल', 'अंकात']"
अंकातल्या,"['अंकात', 'अंकातल', 'अंकातल्', 'अंक']"
अंकातही,"['अंक', 'अंकात']"
अंकातील,"['अंका', 'अंकात', 'अंक']"
अंकातून,"['अंक', 'अंकात', 'अंकात']"
अंकानंतर,"['अंकान', 'अंक']"
अंकानुसार,['अंक']
अंकाने,"['अंकान', 'अंक']"
अंकापासून,"['अंकापास', 'अंक']"
अंकापासूनचे,"['अंकापासूनच', 'अंकापासून', 'अंकाप']"
अंकाबरोबर,['अंक']
अंकामधे,"['अंकामध', 'अंक']"
अंकामध्ये,"['अंक', 'अंकामध्य']"
अंकाला,['अंक']
अंकालाही,['अंकाल']
अंकावर,['अंक']
अंकावरच,['अंका']
अंकावरही,['अंकाव']
अंकावरील,['अंकाव']
अंकासाठी,['अंक']
अंकित,[]
अंकी,[]
अंकुर,[]
अंकुरणारं,[]
अंकुरणे,['अंकुरण']
अंकुरण्यासाठी,"['अंकुरण्यास', 'अंकुरण्य']"
अंकुरले,['अंकुरल']
अंकुरलेलं,"['अंकुरलेल', 'अंकुरले', 'अंकुरल']"
अंकुरलेल्या,"['अंकुरल', 'अंकुरलेल्य', 'अंकुरले', 'अंकुरलेल', 'अंकुर']"
अंकुरही,[]
अंकुराचं,"['अंकुरा', 'अंकुर']"
अंकुराचे,"['अंकुरा', 'अंकुराच', 'अंकुर']"
अंकुरित,[]
अंकुश,[]
अंकुशराव,[]
अंकुशरावांनी,['अंकुशराव']
अंकुशाचा,"['अंकुशा', 'अंकुश']"
अंग,[]
अंगकांतीद्वारे,['अंगकांतीद्वार']
अंगकाठी,[]
अंगकाठीचा,"['अंगकाठ', 'अंगकाठी']"
अंगकाठीत,['अंगकाठ']
अंगकाढू,[]
अंगचटीलाही,"['अंगचट', 'अंगचटील']"
अंगचाच,['अंगच']
अंगचापल्य,[]
अंगची,[]
अंगचे,['अंगच']
अंगच्या,['अंगच']
अंगझडती,[]
अंगठया,[]
अंगठयाने,"['अंगठयान', 'अंगठय']"
अंगठा,[]
अंगठी,[]
अंगठीच,['अंगठ']
अंगठीचा,"['अंगठ', 'अंगठी']"
अंगठीच्या,"['अंगठीच', 'अंगठीच्', 'अंगठ']"
अंगठीत,['अंगठ']
अंगठीतल्या,"['अंगठीतल्', 'अंगठीत', 'अंगठीतल']"
अंगठीने,['अंगठीन']
अंगठीवर,['अंगठ']
अंगठीशी,[]
अंगठीही,['अंगठ']
अंगठे,['अंगठ']
अंगठेच,['अंगठे']
अंगठ्या,['अंगठ']
अंगठ्यांचे,"['अंगठ्यांच', 'अंगठ्या', 'अंगठ्य']"
अंगठ्याएवढी,['अंगठ्याए']
अंगठ्याकडे,"['अंगठ्य', 'अंगठ्याकड', 'अंगठ्या']"
अंगठ्याचा,"['अंगठ्या', 'अंगठ्य', 'अंगठ्य']"
